data,hora,taxa
2024/07/16,09:28:36,10.19973738448779
2024/07/16,09:28:37,10.010647940787416
2024/07/16,09:28:38,10.439537954235913
2024/07/16,09:28:39,10.276853153003064
2024/07/16,09:28:40,9.941864069317754
2024/07/16,09:28:41,10.761680223101285
2024/07/16,09:28:42,10.831854597385172
2024/07/16,09:28:43,10.779069374964454
2024/07/16,09:28:44,10.54826555084717
2024/07/16,09:28:45,10.51602597351993
2024/07/16,09:30:05,10.236879754207495
2024/07/16,09:30:06,10.357043780041845
2024/07/16,09:30:07,10.46283468407417
2024/07/16,09:30:08,10.801377257082548
2024/07/16,09:30:09,10.117628449127594
2024/07/16,09:30:10,10.355988400150036
2024/07/16,09:30:11,10.753603543179272
2024/07/16,09:30:12,10.805281027282792
2024/07/16,09:30:13,10.145893408131236
2024/07/16,09:30:14,10.638665025415603
2024/07/16,09:30:23,10.786561338666708
2024/07/16,09:30:24,10.070968769981324
2024/07/16,09:30:25,9.907757551732184
2024/07/16,09:30:26,10.808128395332565
2024/07/16,09:30:27,10.193262525723163
2024/07/16,09:30:28,10.790974536750808
2024/07/16,09:30:29,10.016100506193132
2024/07/16,09:30:30,10.609540946851812
2024/07/16,09:30:31,10.050725044307685
2024/07/16,09:30:32,9.968404404631697
